player,total_runs,total_balls,matches_played,total_fours,total_sixes,dot_balls,avg_runs,strike_rate,boundary_rate,dot_ball_rate,runs_per_season,label
A Ashish Reddy,280,196,23,16.0,15.0,61.0,12.173913043478262,142.85714285714286,0.15816326530612246,0.3112244897959184,70.0,1
A Chopra,53,75,6,7.0,0.0,45.0,8.833333333333334,70.66666666666667,0.09333333333333334,0.6,26.5,0
A Kumble,35,49,15,3.0,0.0,24.0,2.3333333333333335,71.42857142857143,0.061224489795918366,0.4897959183673469,11.666666666666666,0
A Mishra,340,382,49,27.0,5.0,168.0,6.938775510204081,89.00523560209425,0.08376963350785341,0.4397905759162304,34.0,0
A Mithun,34,26,6,4.0,1.0,11.0,5.666666666666667,130.76923076923077,0.19230769230769232,0.4230769230769231,11.333333333333334,0
A Nehra,41,63,17,3.0,1.0,37.0,2.411764705882353,65.07936507936508,0.06349206349206349,0.5873015873015873,5.857142857142857,0
A Singh,2,10,5,0.0,0.0,8.0,0.4,20.0,0.0,0.8,0.6666666666666666,0
A Symonds,974,781,36,74.0,41.0,308.0,27.055555555555557,124.71190781049937,0.147247119078105,0.39436619718309857,243.5,2
AA Bilakhia,69,88,7,5.0,0.0,43.0,9.857142857142858,78.4090909090909,0.056818181818181816,0.48863636363636365,34.5,0
AA Jhunjhunwala,217,218,15,19.0,5.0,98.0,14.466666666666667,99.54128440366972,0.11009174311926606,0.44954128440366975,72.33333333333333,1
AB Agarkar,179,160,18,13.0,5.0,60.0,9.944444444444445,111.87499999999999,0.1125,0.375,35.8,0
AB Dinda,26,50,16,2.0,0.0,31.0,1.625,52.0,0.04,0.62,3.25,0
AB McDonald,123,103,9,9.0,4.0,38.0,13.666666666666666,119.41747572815532,0.1262135922330097,0.36893203883495146,24.6,1
AB de Villiers,3486,2402,118,287.0,158.0,778.0,29.54237288135593,145.12905911740216,0.18526228143213988,0.32389675270607826,348.6,2
AC Blizzard,120,91,7,21.0,2.0,48.0,17.142857142857142,131.86813186813185,0.25274725274725274,0.5274725274725275,60.0,1
AC Gilchrist,2069,1555,80,239.0,92.0,737.0,25.8625,133.05466237942122,0.21286173633440514,0.4739549839228296,344.8333333333333,2
AC Voges,181,143,7,15.0,3.0,44.0,25.857142857142858,126.57342657342659,0.1258741258741259,0.3076923076923077,181.0,2
AD Mascarenhas,79,79,11,5.0,1.0,29.0,7.181818181818182,100.0,0.0759493670886076,0.3670886075949367,15.8,0
AD Mathews,724,599,41,44.0,29.0,207.0,17.658536585365855,120.86811352253757,0.12186978297161936,0.34557595993322204,120.66666666666667,1
AD Russell,574,350,25,48.0,37.0,128.0,22.96,164.0,0.24285714285714285,0.3657142857142857,114.8,2
AG Paunikar,49,61,5,9.0,0.0,41.0,9.8,80.32786885245902,0.14754098360655737,0.6721311475409836,24.5,0
AJ Finch,1604,1270,64,170.0,59.0,554.0,25.0625,126.2992125984252,0.18031496062992125,0.43622047244094486,200.5,2
AL Menaria,401,367,23,24.0,18.0,152.0,17.434782608695652,109.26430517711172,0.11444141689373297,0.4141689373297003,133.66666666666666,1
AM Nayar,672,588,50,55.0,20.0,234.0,13.44,114.28571428571428,0.12755102040816327,0.3979591836734694,96.0,1
AM Rahane,3057,2602,105,320.0,60.0,1001.0,29.114285714285714,117.48654880860876,0.1460415065334358,0.38470407378939275,339.6666666666667,2
AN Ahmed,36,27,6,4.0,1.0,11.0,6.0,133.33333333333331,0.18518518518518517,0.4074074074074074,9.0,0
AP Tare,339,285,27,40.0,11.0,142.0,12.555555555555555,118.94736842105263,0.17894736842105263,0.4982456140350877,56.5,1
AR Patel,606,494,42,34.0,28.0,169.0,14.428571428571429,122.67206477732793,0.12550607287449392,0.34210526315789475,151.5,1
AS Raut,194,172,16,13.0,7.0,67.0,12.125,112.79069767441861,0.11627906976744186,0.38953488372093026,64.66666666666667,1
AS Yadav,49,40,6,5.0,2.0,18.0,8.166666666666666,122.50000000000001,0.175,0.45,49.0,0
AT Rayudu,2416,1964,105,205.0,79.0,693.0,23.00952380952381,123.0142566191446,0.1446028513238289,0.3528513238289206,302.0,2
AUK Pathan,39,26,7,5.0,2.0,14.0,5.571428571428571,150.0,0.2692307692307692,0.5384615384615384,19.5,0
Ankit Sharma,87,69,10,7.0,4.0,29.0,8.7,126.08695652173914,0.15942028985507245,0.42028985507246375,17.4,0
Anureet Singh,33,43,7,2.0,1.0,21.0,4.714285714285714,76.74418604651163,0.06976744186046512,0.4883720930232558,16.5,0
Azhar Mahmood,388,311,21,39.0,13.0,124.0,18.476190476190474,124.7588424437299,0.16720257234726688,0.3987138263665595,129.33333333333334,1
B Akhil,76,57,11,5.0,5.0,26.0,6.909090909090909,133.33333333333331,0.17543859649122806,0.45614035087719296,25.333333333333332,0
B Chipli,280,256,21,28.0,7.0,110.0,13.333333333333334,109.375,0.13671875,0.4296875,70.0,1
B Kumar,158,160,33,15.0,3.0,76.0,4.787878787878788,98.75,0.1125,0.475,22.571428571428573,0
B Lee,124,102,19,8.0,8.0,46.0,6.526315789473684,121.56862745098039,0.1568627450980392,0.45098039215686275,20.666666666666668,0
BA Stokes,316,227,11,22.0,15.0,70.0,28.727272727272727,139.20704845814979,0.16299559471365638,0.30837004405286345,316.0,2
BB McCullum,2755,2181,103,277.0,124.0,985.0,26.74757281553398,126.31820265933058,0.18386061439706555,0.4516276937184778,275.5,2
BB Samantray,125,116,8,13.0,2.0,48.0,15.625,107.75862068965519,0.12931034482758622,0.41379310344827586,62.5,1
BCJ Cutting,124,70,8,9.0,10.0,27.0,15.5,177.14285714285714,0.2714285714285714,0.38571428571428573,41.333333333333336,1
BJ Hodge,1400,1153,63,122.0,43.0,439.0,22.22222222222222,121.42237640936686,0.14310494362532525,0.38074588031222895,200.0,2
BJ Rohrer,193,146,8,21.0,5.0,57.0,24.125,132.1917808219178,0.1780821917808219,0.3904109589041096,193.0,2
Basil Thampi,28,30,5,1.0,1.0,13.0,5.6,93.33333333333333,0.06666666666666667,0.43333333333333335,28.0,0
Bipul Sharma,187,124,17,11.0,9.0,34.0,11.0,150.80645161290323,0.16129032258064516,0.27419354838709675,31.166666666666668,0
C de Grandhomme,126,92,9,10.0,6.0,31.0,14.0,136.95652173913044,0.17391304347826086,0.33695652173913043,126.0,1
CA Lynn,384,260,12,31.0,23.0,103.0,32.0,147.6923076923077,0.2076923076923077,0.39615384615384613,96.0,2
CA Pujara,390,403,22,50.0,4.0,200.0,17.727272727272727,96.7741935483871,0.13399503722084366,0.49627791563275436,78.0,1
CH Gayle,3651,2532,100,297.0,266.0,1178.0,36.51,144.19431279620852,0.22235387045813587,0.46524486571879936,405.6666666666667,3
CH Morris,439,275,28,33.0,23.0,78.0,15.678571428571429,159.63636363636365,0.20363636363636364,0.28363636363636363,109.75,1
CJ Anderson,521,414,26,40.0,30.0,190.0,20.03846153846154,125.84541062801932,0.16908212560386474,0.45893719806763283,173.66666666666666,1
CJ Ferguson,98,119,8,9.0,0.0,58.0,12.25,82.35294117647058,0.07563025210084033,0.48739495798319327,49.0,1
CL White,971,774,45,76.0,38.0,274.0,21.57777777777778,125.45219638242895,0.14728682170542637,0.35400516795865633,194.2,1
CM Gautam,169,158,13,17.0,6.0,84.0,13.0,106.9620253164557,0.14556962025316456,0.5316455696202531,56.333333333333336,1
CR Brathwaite,95,56,8,8.0,8.0,27.0,11.875,169.64285714285714,0.2857142857142857,0.48214285714285715,47.5,0
CR Woakes,46,47,7,4.0,1.0,21.0,6.571428571428571,97.87234042553192,0.10638297872340426,0.44680851063829785,46.0,0
D Wiese,127,94,8,12.0,4.0,29.0,15.875,135.1063829787234,0.1702127659574468,0.30851063829787234,63.5,1
DA Miller,1563,1135,64,104.0,78.0,382.0,24.421875,137.7092511013216,0.160352422907489,0.3365638766519824,260.5,2
DA Warner,4014,2902,114,401.0,160.0,1124.0,35.21052631578947,138.3184011026878,0.19331495520330808,0.3873190902825637,446.0,3
DB Das,304,267,22,23.0,16.0,124.0,13.818181818181818,113.85767790262172,0.14606741573033707,0.46441947565543074,101.33333333333333,1
DB Ravi Teja,375,325,25,35.0,9.0,124.0,15.0,115.38461538461537,0.13538461538461538,0.38153846153846155,75.0,1
DH Yagnik,170,142,17,23.0,2.0,62.0,10.0,119.71830985915493,0.176056338028169,0.43661971830985913,42.5,0
DJ Bravo,1262,1032,81,102.0,48.0,419.0,15.580246913580247,122.28682170542635,0.14534883720930233,0.4060077519379845,140.22222222222223,1
